name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean,rms_scaled,cluster,mood
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,"Preto no Branco, Gabriela Rocha",spotify:track:682XjN6L1Qhs5rXbuGSQKK,"Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo - Preto no Branco, Gabriela Rocha",False,93.75,-0.6776,0.3579,0.0387,2130.1881,0.1656,-0.1395851698600843,0,Sad
"Sonda-me, Usa-me",Aline Barros,spotify:track:44mL5VXSVj0Rm9GBiNPmUM,"Sonda-me, Usa-me - Aline Barros",False,122.2826,2.2405,0.437,0.049,2662.1528,0.1436,-0.6049775524665681,1,Sad
Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo,"Paulo Cesar Baruk, Leonardo Gonçalves",spotify:track:06I10BV3eKbBeWMELGddHT,"Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo - Paulo Cesar Baruk, Leonardo Gonçalves",False,137.1951,2.6728,0.3859,0.0399,1902.9154,0.1661,-0.1290080702553915,0,Sad
Holy Spirit - Live,"Jesus Culture, Kim Walker-Smith",spotify:track:5Xjcst6Rle74VteHx0zczO,"Holy Spirit - Live - Jesus Culture, Kim Walker-Smith",False,144.2308,2.8353,0.4075,0.0412,2290.0217,0.1923,0.4252319490305122,0,Sad
Tu Podes - Ao Vivo,Régis Danese,spotify:track:09dKgkyHkkpACoFYIwD5Qn,Tu Podes - Ao Vivo - Régis Danese,False,122.2826,-2.532,0.3801,0.0423,2073.5585,0.1347,-0.7932499254301008,0,Sad
Holy Spirit,Francesca Battistelli,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,Holy Spirit - Francesca Battistelli,False,144.2308,2.3166,0.4361,0.0545,2729.5835,0.1816,0.1988820174900861,1,Sad
Battle Belongs,Phil Wickham,spotify:track:3CwpNu67Qg1Mcl8WNtzUgo,Battle Belongs - Phil Wickham,False,81.5217,6.3762,0.4652,0.0633,2884.232,0.2137,0.877931812111365,1,Happy
Aquieta Minh'alma,Ministério Zoe,spotify:track:2pfh4FmcvPTqBYApHaV6p3,Aquieta Minh'alma - Ministério Zoe,False,125.0,1.5335,0.4538,0.0363,2132.2692,0.1292,-0.9095980210817212,0,Sad
Vai Valer a Pena,Juliano Son,spotify:track:7fzImqefMkagp3jEeKtdVy,Vai Valer a Pena - Juliano Son,False,125.0,-0.077,0.3559,0.0486,2372.4954,0.2052,0.6981211188315869,0,Sad
Pra Sempre - Acústico,"Fernandinho, Paula Santos",spotify:track:3uLESUUCo5sq0c03Q0WxFr,"Pra Sempre - Acústico - Fernandinho, Paula Santos",False,144.2308,2.3424,0.4164,0.0467,2538.2285,0.1444,-0.5880541930990598,0,Happy
Deus é Deus,Delino Marçal,spotify:track:2zIUZPKNlGrnlxagZmKTFd,Deus é Deus - Delino Marçal,False,114.7959,3.8643,0.4252,0.039,2112.3239,0.1915,0.4083085896630038,0,Sad
Santo Espírito,"Laura Souguellis, Dunamis Music",spotify:track:6GL7BYWdhMgce6fDWX8qVn,"Santo Espírito - Laura Souguellis, Dunamis Music",False,122.2826,-4.3385,0.3074,0.0419,2003.1129,0.1869,0.31099927329983,0,Happy
Sobre as Águas - Ao Vivo,Trazendo a Arca,spotify:track:78jqNs62Tfo3sIxCL2IIpI,Sobre as Águas - Ao Vivo - Trazendo a Arca,False,137.1951,-0.7881,0.3825,0.0475,2251.6663,0.1561,-0.340550062349248,0,Sad
Sou Humano,Bruna Karla,spotify:track:7HRyi2scNjqDmGDhwqj9Bp,Sou Humano - Bruna Karla,False,119.6809,2.0239,0.3923,0.0542,2558.0645,0.145,-0.5753616735734286,0,Happy
Atos 2,Gabriela Rocha,spotify:track:0L3UFMmq5An0W3j1Q9cLG6,Atos 2 - Gabriela Rocha,False,106.1321,-0.4492,0.3476,0.0589,2720.1067,0.1273,-0.9497909995795544,1,Happy
Me Ajude A Melhorar,Eli Soares,spotify:track:63ZKT26bj7ni15pl3MGMpU,Me Ajude A Melhorar - Eli Soares,False,130.814,6.6017,0.4613,0.0486,2643.5774,0.1942,0.4654249275283452,1,Sad
Grandes Coisas - Ao Vivo,Fernandinho,spotify:track:6oUMdwHNYiBcf8oWrx2hj1,Grandes Coisas - Ao Vivo - Fernandinho,False,148.0263,-1.803,0.4265,0.0605,2970.5883,0.0848,-1.848844465978444,1,Happy
Eu Escolho Deus - Ao Vivo,Thalles Roberto,spotify:track:2MaKWxPGQ6zocvj2ciYREO,Eu Escolho Deus - Ao Vivo - Thalles Roberto,False,119.6809,2.6033,0.4763,0.0329,2025.6544,0.184,0.2496520955926114,0,Sad
Acalma o Meu Coração,Anderson Freire,spotify:track:3VYgop8eTvEitSxxKc6jGp,Acalma o Meu Coração - Anderson Freire,False,87.8906,3.6208,0.4129,0.0468,2543.8362,0.2187,0.9837028081582933,0,Sad
Tua Graça Me Basta (feat. Verônica Sacer),Davi Sacer,spotify:track:5cjhrr4fjxrWEKEECV6d3B,Tua Graça Me Basta (feat. Verônica Sacer) - Davi Sacer,False,130.814,-0.2603,0.4094,0.0595,2829.98,0.1303,-0.8863284019513973,1,Happy
Raridade,Anderson Freire,spotify:track:3Gam4UbOwnwQQQKuItui39,Raridade - Anderson Freire,False,133.9286,4.6455,0.4026,0.0361,1915.187,0.2191,0.9921644878420472,0,Happy
Quando Eu Chorar,Bruna Karla,spotify:track:3cq63zWjxoePzdCylIM52x,Quando Eu Chorar - Bruna Karla,False,133.9286,0.3775,0.3368,0.057,2386.3657,0.1662,-0.1268926503344531,0,Sad
Ressuscita-me,Aline Barros,spotify:track:7b07ZOEHDdp6jJbstnf0iB,Ressuscita-me - Aline Barros,False,140.625,0.6839,0.3937,0.0607,2741.2088,0.1641,-0.1713164686741628,1,Happy
Deus de Promessas,Davi Sacer,spotify:track:4qL8V4pTMJX0HMfyTFWuin,Deus de Promessas - Davi Sacer,False,140.625,3.1385,0.4101,0.0568,2591.859,0.1804,0.1734969784388232,0,Happy
Espírito Santo,Fernanda Brum,spotify:track:4qO3WITv7447OvVUAdJjzM,Espírito Santo - Fernanda Brum,False,87.8906,-8.1083,0.3441,0.0494,2407.4597,0.0752,-2.0519247783885457,0,Sad
Marca da Promessa - Ao Vivo,Trazendo a Arca,spotify:track:0RoDyiqHn62BlyqO4Knktr,Marca da Promessa - Ao Vivo - Trazendo a Arca,False,80.3571,4.7923,0.4668,0.062,3182.1521,0.1727,0.0106096445265535,1,Happy
Vou Deixar na Cruz,Kleber Lucas,spotify:track:3CbPjnoNaOh07rbJxI9IBW,Vou Deixar na Cruz - Kleber Lucas,False,156.25,-1.3201,0.3936,0.0434,2197.032,0.1384,-0.7149793883553738,0,Happy
Deus Cuida de Mim,Kleber Lucas,spotify:track:449TmbIw140iAdtYpUWB4h,Deus Cuida de Mim - Kleber Lucas,False,98.6842,0.2225,0.4213,0.0483,2411.9049,0.1144,-1.2226801693806288,0,Sad
Advogado Fiel,Bruna Karla,spotify:track:061NRgs8Iza1oxHTpHi3qq,Advogado Fiel - Bruna Karla,False,77.0548,0.7482,0.3851,0.0593,2561.6891,0.1553,-0.3574734217167565,0,Happy
Meu Barquinho,Giselli Cristina,spotify:track:6uyh29cLTff8ei3LGHicJt,Meu Barquinho - Giselli Cristina,False,140.625,2.9887,0.3526,0.0507,2319.5641,0.2387,1.4067867923460058,0,Happy
Caia Fogo - Ao Vivo,Fernandinho,spotify:track:2QOrs9ioPmQp4SPSi3MNQe,Caia Fogo - Ao Vivo - Fernandinho,False,144.2308,1.006,0.4793,0.0426,2481.1394,0.1717,-0.010544554682832,0,Happy
O Que Sua Glória Fez Comigo,Fernanda Brum,spotify:track:0Y9nHU2Fhl76LHbRRmNQ6X,O Que Sua Glória Fez Comigo - Fernanda Brum,False,140.625,2.5853,0.3998,0.044,2339.1821,0.1761,0.082533921838465,0,Happy
Deus de Promessas,Toque no Altar,spotify:track:6xzbFFuCMO6xUZK9b0eO8k,Deus de Promessas - Toque no Altar,False,140.625,2.9859,0.4043,0.0515,2778.7038,0.22,1.0112032671304945,1,Happy
Ele Não Desiste de Você,Marquinhos Gomes,spotify:track:344vyXHCBYXPGV4jO8Jo8X,Ele Não Desiste de Você - Marquinhos Gomes,False,140.625,-0.3983,0.3864,0.0617,2433.1241,0.1477,-0.5182453357080873,0,Sad
Restitui - Ao Vivo,Trazendo a Arca,spotify:track:3i4qQdnaQFdyCs3Art3LzD,Restitui - Ao Vivo - Trazendo a Arca,False,125.0,0.5607,0.4235,0.0601,2901.5278,0.1853,0.2771525545648126,1,Sad
Conquistando o Impossível,Jamily,spotify:track:2diKs21Dq3e6K2gfhMJLCO,Conquistando o Impossível - Jamily,False,137.1951,-3.0966,0.3851,0.0604,2779.0001,0.0948,-1.6373024738845876,1,Happy
"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo",Régis Danese,spotify:track:7AA38Hs4o0EHdCiogPAuw3,"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo - Régis Danese",False,127.8409,-8.5839,0.4063,0.0586,2868.4049,0.0455,-2.6802044949073,1,Happy
Que Ele Cresça (Humildade) - Ao Vivo,Deigma Marques,spotify:track:2M1KjQKBnUQ38LU3fNTbqy,Que Ele Cresça (Humildade) - Ao Vivo - Deigma Marques,False,144.2308,4.4646,0.4452,0.0377,2291.689,0.2306,1.2354377787499822,0,Happy
Sabor de Mel,Damares,spotify:track:50yPQZWDucOc6n1qdofN7T,Sabor de Mel - Damares,False,144.2308,5.1798,0.4038,0.063,2905.6752,0.2282,1.1846677006474564,1,Happy
Ele Não Desiste de Você - Ao Vivo,Marquinhos Gomes,spotify:track:5fQYoR7st5kgsDw174m7UB,Ele Não Desiste de Você - Ao Vivo - Marquinhos Gomes,False,140.625,-0.3983,0.3864,0.0617,2433.1241,0.1477,-0.5182453357080873,0,Sad
O Maior Troféu,Damares,spotify:track:1s6kINRA4Py3YlYtPWhFew,O Maior Troféu - Damares,False,144.2308,2.3728,0.3899,0.0483,2192.3351,0.1536,-0.3934355603727122,0,Happy
Casa do Pai,Aline Barros,spotify:track:5Phlatr2avk8DRTA1ahxb6,Casa do Pai - Aline Barros,False,133.9286,4.8219,0.4443,0.0472,2118.529,0.2153,0.9117785308463816,0,Sad
Me Ama - Ao Vivo,"Diante do Trono, Ana Paula Valadão",spotify:track:3WguVId9zbNufOTHgQiTOx,"Me Ama - Ao Vivo - Diante do Trono, Ana Paula Valadão",False,152.027,2.677,0.3675,0.0563,2484.5418,0.1939,0.459078667765529,0,Happy
Tua Graça Me Basta,Trazendo a Arca,spotify:track:7IqLd3UXod118JSE1unCEZ,Tua Graça Me Basta - Trazendo a Arca,False,127.8409,3.5916,0.4897,0.0849,3944.8226,0.1645,-0.1628547889904083,1,Happy
Com Muito Louvor,Cassiane,spotify:track:57JAYiwPmU93oowUWKwrEF,Com Muito Louvor - Cassiane,False,148.0263,1.6598,0.4087,0.0554,2749.7079,0.1388,-0.7065177086716192,1,Happy
Te Louvarei - Ao Vivo,Trazendo a Arca,spotify:track:4AgLJxOkacISI93JYPNUtp,Te Louvarei - Ao Vivo - Trazendo a Arca,False,130.814,4.4928,0.43,0.0394,2095.8147,0.198,0.5458108845240106,0,Sad
Preciso de Ti - Ao Vivo,Diante do Trono,spotify:track:57WRcTAI6bJ64A0IzdF4r6,Preciso de Ti - Ao Vivo - Diante do Trono,False,148.0263,1.3513,0.3821,0.0474,2544.0846,0.1348,-0.7911345055091619,0,Happy
Não Morrerei - Ao Vivo,Marquinhos Gomes,spotify:track:7tztN3e5IFxhOYV7KQgsuu,Não Morrerei - Ao Vivo - Marquinhos Gomes,False,127.8409,0.712,0.3959,0.0626,2830.2942,0.1495,-0.4801677771311932,1,Happy
Olha pra Mim,Toque no Altar,spotify:track:1zw6Xhftd6MUSYPhcEUw1T,Olha pra Mim - Toque no Altar,False,130.814,5.0465,0.4765,0.0718,3709.485,0.1973,0.5310029450774405,1,Happy
No Silêncio,Rose Nascimento,spotify:track:1pgHsf1WqOR7aCiqL3XYO7,No Silêncio - Rose Nascimento,False,127.8409,3.7144,0.3768,0.0578,2615.0317,0.2305,1.2333223588290438,1,Happy
Alive & Breathing (feat. Elle Limebear),"Matt Maher, Elle Limebear",spotify:track:1nmspIOQLdmBhGfT747dEJ,"Alive & Breathing (feat. Elle Limebear) - Matt Maher, Elle Limebear",False,137.1951,-2.773,0.3972,0.0468,2386.2188,0.1057,-1.406721702502284,0,Happy
You Say,Lauren Daigle,spotify:track:6Up545NUflOiXo8cEraH49,You Say - Lauren Daigle,False,148.0263,-1.7784,0.3217,0.0325,1592.6897,0.193,0.4400398884770823,0,Sad
Milagre - Ao Vivo,André Valadão,spotify:track:1wQshFMkDxr8Jz1McOZOJR,Milagre - Ao Vivo - André Valadão,False,144.2308,-6.1195,0.4417,0.0591,2792.4907,0.0338,-2.9277086256571114,1,Happy
Way Maker - Single Version,Leeland,spotify:track:0H4BGX7L8UfoD0g4wgXd0D,Way Maker - Single Version - Leeland,False,144.2308,5.0506,0.4437,0.0554,2643.7959,0.2245,1.10639716357273,1,Happy
Raise a Hallelujah - Studio Version,"Bethel Music, Jonathan David Helser, Melissa Helser",spotify:track:4LnHfZGEitmIVS17wndaUI,"Raise a Hallelujah - Studio Version - Bethel Music, Jonathan David Helser, Melissa Helser",False,81.5217,6.7964,0.4464,0.0511,2547.4759,0.252,1.688137641830835,0,Happy
Nobody (feat. Matthew West),"Casting Crowns, Matthew West",spotify:track:0W7KIc2GSB9suYQAaMZ9rF,"Nobody (feat. Matthew West) - Casting Crowns, Matthew West",False,80.3571,2.5184,0.4559,0.0538,2592.1774,0.2189,0.9879336480001704,0,Happy
Be Alright,"Evan Craft, Danny Gokey, Redimi2",spotify:track:7ds1OKySMhLxxf7z6KxFQs,"Be Alright - Evan Craft, Danny Gokey, Redimi2",False,160.7143,-1.7355,0.3992,0.0546,2827.7632,0.1443,-0.5901696130199982,1,Sad
Uma Nova História - Ao Vivo,Fernandinho,spotify:track:2dV76Kw7RcwCAlSfSLLdbi,Uma Nova História - Ao Vivo - Fernandinho,False,147.6562,5.9746,0.4092,0.0715,3404.7451,0.2311,1.246014878354675,1,Happy
Scars,I AM THEY,spotify:track:7reASFw2ZMgqahFJc6CMgl,Scars - I AM THEY,False,75.0,0.1133,0.377,0.0509,2576.3981,0.1836,0.2411904159088574,0,Sad
O Come to the Altar (Live),Elevation Worship,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live) - Elevation Worship,False,140.625,3.7461,0.4972,0.0525,2500.3307,0.1939,0.459078667765529,0,Happy
Known,Tauren Wells,spotify:track:1hrF6s6kfXuPv14OrD9v6X,Known - Tauren Wells,False,156.25,-3.0982,0.3585,0.0439,2379.9406,0.1392,-0.6980560289878653,0,Happy
God's Not Done with You,Tauren Wells,spotify:track:5R6kMqnnpfA3ebbvAgbxBv,God's Not Done with You - Tauren Wells,False,140.625,3.0147,0.3826,0.0578,2719.0095,0.1953,0.4886945466586692,1,Happy
Good Good Father,Chris Tomlin,spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,Good Good Father - Chris Tomlin,False,144.2308,4.5379,0.4161,0.0573,2699.4691,0.2465,1.5717895461792135,1,Sad
Our God,Chris Tomlin,spotify:track:40lKptao1hxVqA7fd1OOGp,Our God - Chris Tomlin,False,104.1667,6.0162,0.4302,0.0625,2918.2572,0.246,1.561212446574521,1,Happy
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,spotify:track:2VuwpxQR7rTPWkoLkpANdz,Whom Shall I Fear (God Of Angel Armies) - Chris Tomlin,False,148.0263,5.4901,0.416,0.0614,2641.4425,0.2416,1.4681339700532243,1,Happy
